0.35, 3, 3, 0.8005, 0.67, 2.31655, 2.04045, 2.3749
0.4, 3, 3, 0.7382, 0.6171, 2.3476, 2.06887, 2.5027
0.45, 3, 3, 0.6903, 0.5718, 2.37288, 2.071, 2.6529
0.5, 3, 3, 0.622, 0.5147, 2.36961, 2.06334, 2.8488
0, 3, 4, 1, 1, 2.9932, 2.9932, 2.9932
0.05, 3, 4, 0.9923, 0.9493, 3.03134, 3.01201, 3.029
0.1, 3, 4, 0.9765, 0.8924, 3.03891, 2.98151, 3.0289
0.15, 3, 4, 0.9521, 0.8444, 3.08718, 2.9955, 3.0712
0.2, 3, 4, 0.923, 0.7878, 3.14572, 3.00812, 3.1322
0.25, 3, 4, 0.8788, 0.7217, 3.19868, 3.00125, 3.2121
0.3, 3, 4, 0.8382, 0.657, 3.23109, 2.99376, 3.2844
0.35, 3, 4, 0.7775, 0.5962, 3.27846, 2.96478, 3.3967
0.4, 3, 4, 0.7163, 0.5218, 3.34692, 2.98524, 3.5823
0.45, 3, 4, 0.6539, 0.463, 3.39394, 2.91901, 3.7689
0.5, 3, 4, 0.5699, 0.389, 3.4192, 2.91054, 4.0775
0, 3, 5, 1, 1, 3.6126, 3.6126, 3.6126
0.05, 3, 5, 0.9657, 0.9296, 3.62618, 3.58412, 3.6173
0.1, 3, 5, 0.9381, 0.8518, 3.64311, 3.54731, 3.6162
0.15, 3, 5, 0.9263, 0.7768, 3.73421, 3.55072, 3.6792
0.2, 3, 5, 0.89, 0.6982, 3.79191, 3.51275, 3.7317
0.25, 3, 5, 0.8569, 0.6254, 3.87618, 3.52382, 3.8213
0.3, 3, 5, 0.7955, 0.5568, 3.92709, 3.47827, 3.9227
0.35, 3, 5, 0.7254, 0.4803, 4.05817, 3.51093, 4.1318
0.4, 3, 5, 0.6482, 0.4207, 4.04875, 3.45638, 4.2942
0.45, 3, 5, 0.558, 0.3441, 4.14498, 3.44406, 4.5834
0.5, 3, 5, 0.4748, 0.2922, 4.12848, 3.38672, 4.9457
0, 4, 3, 1, 1, 2.6684, 2.6684, 2.6684
0.05, 4, 3, 0.9956, 0.9506, 2.6828, 2.65716, 2.6698
0.1, 4, 3, 0.9718, 0.9019, 2.71013, 2.65484, 2.6826
0.15, 4, 3, 0.9474, 0.841, 2.77391, 2.67253, 2.7241
0.2, 4, 3, 0.9166, 0.7935, 2.81955, 2.65999, 2.7514
0.25, 4, 3, 0.8743, 0.7321, 2.88482, 2.66808, 2.801
0.3, 4, 3, 0.8321, 0.6779, 2.93835, 2.66455, 2.8642
0.35, 4, 3, 0.7774, 0.6195, 3.00141, 2.68555, 2.9498
0.4, 4, 3, 0.7171, 0.5642, 3.03723, 2.6994, 3.0484
0.45, 4, 3, 0.653, 0.4988, 3.11884, 2.72133, 3.213
0.5, 4, 3, 0.5737, 0.4426, 3.14851, 2.723, 3.3945
0, 4, 4, 1, 1, 4.0162, 4.0162, 4.0162
0.05, 4, 4, 0.9888, 0.9468, 4.03722, 4.01943, 4.0212
0.1, 4, 4, 0.9702, 0.8918, 4.05483, 4.00606, 4.02
0.15, 4, 4, 0.9388, 0.8321, 4.10247, 4.01118, 4.0537
0.2, 4, 4, 0.901, 0.7708, 4.13907, 4.01168, 4.0754
0.25, 4, 4, 0.8655, 0.7025, 4.15182, 3.97082, 4.0952
