0.25, 2, 5, 0.8487, 0.6883, 2.62142, 2.32297, 2.7808
0.3, 2, 5, 0.7719, 0.6058, 2.70527, 2.34582, 3.0417
0.35, 2, 5, 0.7334, 0.5702, 2.65749, 2.24044, 3.1469
0.4, 2, 5, 0.652, 0.5054, 2.66534, 2.24713, 3.511
0.45, 2, 5, 0.6164, 0.4748, 2.64179, 2.20682, 3.705
0.5, 2, 5, 0.5694, 0.4457, 2.55585, 2.09625, 4.0361
0, 3, 3, 1, 1, 2.0084, 2.0084, 2.0084
0.05, 3, 3, 0.9997, 0.9573, 2.01991, 1.98444, 2.0027
0.1, 3, 3, 0.991, 0.9137, 2.07417, 1.99157, 2.0349
0.15, 3, 3, 0.9736, 0.8632, 2.16167, 2.02769, 2.1007
0.2, 3, 3, 0.949, 0.8172, 2.17724, 1.99804, 2.121
0.25, 3, 3, 0.9273, 0.7763, 2.23488, 2.00258, 2.1794
0.3, 3, 3, 0.8882, 0.7202, 2.30534, 2.03388, 2.276
0.35, 3, 3, 0.8372, 0.6778, 2.31426, 2.03098, 2.3589
0.4, 3, 3, 0.7883, 0.6159, 2.39033, 2.04822, 2.501
0.45, 3, 3, 0.7396, 0.5707, 2.42104, 2.06028, 2.6455
0.5, 3, 3, 0.6794, 0.5132, 2.46629, 2.07853, 2.846
0, 3, 4, 1, 1, 3.0015, 3.0015, 3.0015
0.05, 3, 4, 0.9993, 0.9571, 2.9941, 2.97639, 2.9895
0.1, 3, 4, 0.9912, 0.9014, 3.04328, 2.97493, 3.0202
0.15, 3, 4, 0.9697, 0.8407, 3.09054, 2.97728, 3.0569
0.2, 3, 4, 0.94, 0.7808, 3.13479, 2.97631, 3.1128
0.25, 3, 4, 0.9007, 0.7218, 3.18963, 2.98809, 3.1839
0.3, 3, 4, 0.8567, 0.6557, 3.2575, 2.98033, 3.2787
0.35, 3, 4, 0.8004, 0.5933, 3.29698, 2.96191, 3.3811
0.4, 3, 4, 0.7476, 0.5341, 3.35955, 2.959, 3.5501
0.45, 3, 4, 0.6716, 0.4605, 3.44163, 2.96895, 3.7897
0.5, 3, 4, 0.595, 0.3957, 3.43529, 2.9022, 4.0485
0, 3, 5, 1, 1, 3.5886, 3.5886, 3.5886
0.05, 3, 5, 0.9906, 0.928, 3.64052, 3.58804, 3.613
0.1, 3, 5, 0.9675, 0.8554, 3.68444, 3.56371, 3.6355
0.15, 3, 5, 0.9381, 0.7734, 3.75013, 3.53866, 3.6816
0.2, 3, 5, 0.8868, 0.7019, 3.79161, 3.526, 3.746
0.25, 3, 5, 0.8379, 0.6239, 3.85046, 3.48934, 3.8045
0.3, 3, 5, 0.777, 0.5509, 3.93501, 3.49682, 3.9373
0.35, 3, 5, 0.7065, 0.4816, 4.00028, 3.49668, 4.1186
0.4, 3, 5, 0.632, 0.4194, 4.00839, 3.45184, 4.2854
0.45, 3, 5, 0.5516, 0.3485, 4.11403, 3.43702, 4.5945
0.5, 3, 5, 0.456, 0.2893, 4.09627, 3.40062, 4.9688
0, 4, 3, 1, 1, 2.6851, 2.6851, 2.6851
0.05, 4, 3, 0.998, 0.9494, 2.68557, 2.66052, 2.668
0.1, 4, 3, 0.9849, 0.8986, 2.71662, 2.64756, 2.673
0.15, 4, 3, 0.9639, 0.8472, 2.76896, 2.65168, 2.7043
0.2, 4, 3, 0.94, 0.7897, 2.83064, 2.65582, 2.7435
0.25, 4, 3, 0.9046, 0.7394, 2.88547, 2.67203, 2.7986
0.3, 4, 3, 0.8618, 0.6737, 2.93514, 2.65638, 2.8521
